,interview,task,meanpupilsize,stddevpupilsize,maxpupilsize,minpupilsize,startpupilsize,endpupilsize
187,EI-137,Reading,-0.162314063408,0.0397818879157,0.222602244809,-0.401434317645,-0.0843218603979,-0.173469940749
188,EI-137,CookieTheft,-0.220013181224,0.0775673385709,0.125812900429,-0.513506190086,-0.126348812563,-0.108519196493
189,EI-137,PupilCalib,-0.0018656749099,0.043873571975,0.100342020329,-0.251156125054,-0.0652187003228,0.0825124042584
190,EI-170,EI-170_allsc,-0.147078419397,0.137505317323,0.443520494518,-0.465449996321,0.0149385532416,-0.251159025683
191,EI-170,Reading,0.0718201048094,0.0499443762795,0.443520494518,-0.232320259033,0.0255353594819,-0.0250938258886
192,EI-170,Memory,-0.259491535784,0.0512358082883,0.139745382295,-0.465449996321,0.139745382295,-0.251159025683
193,EI-170,CookieTheft,-0.17461756945,0.0455052131686,0.146809919788,-0.441901538009,0.103245271911,-0.154610346604
194,EI-170,PupilCalib,0.00671511409178,0.0359469374734,0.102067848996,-0.0721907425123,0.0149385532416,-0.00272279049231
195,EI-189,EI-189_allsc,-0.110659632949,0.0645434965961,0.186882212996,-0.473560308752,-0.0364558378362,0.024164490247
196,EI-189,Reading,-0.0863212904281,0.0421135962887,0.0720226439968,-0.473560308752,-0.0699565454611,-0.154505950419
197,EI-189,CookieTheft,-0.152281728964,0.0499327425449,0.186882212996,-0.463988678002,-0.0236936635029,-0.245436442544
198,EI-189,PupilCalib,-0.000123156893066,0.0209731387775,0.0576651978719,-0.178435027294,-0.0364558378362,0.024164490247
199,EI-191,EI-191_allsc,-0.152137040418,0.0675497982354,0.0875198008599,-0.512725796361,-0.120728671645,-0.203755840422
200,EI-191,Reading,-0.0646364181492,0.0471904858294,0.0875198008599,-0.371171279102,-0.0553958175259,-0.0145627837014
201,EI-191,Memory,-0.183843885757,0.0413654184712,0.0153814411033,-0.512725796361,0.0031315309559,-0.203755840422
202,EI-191,CookieTheft,-0.17607259994,0.0367624015343,0.0426034636529,-0.471892762536,0.0330757557606,-0.175172716745
203,EI-191,PupilCalib,-0.0031228539796,0.0326325812015,0.0671032839477,-0.278616402433,-0.120728671645,0.0194647444857
204,EL-003,CookieTheft,-0.162252360385,0.100057521442,0.341776937618,-0.388441803943,-0.057561436673,0.204860923575
205,EL-101,EL-101_allsc,0.0304774034087,0.0491858801216,0.437216499091,-0.305889758962,-0.0915321845234,0.104451883534
206,EL-101,Reading,-0.00756357044517,0.0560012395168,0.424967494837,-0.305889758962,0.0493313643932,0.0574973672289
207,EL-101,Memory,0.0358303099953,0.0366560165749,0.179987409765,-0.162984709336,0.0656633700647,0.104451883534
208,EL-101,CookieTheft,0.0425950758995,0.0473953419256,0.437216499091,-0.191565719261,0.000335347378699,0.0370823601395
209,EL-101,PupilCalib,-0.00667718342528,0.0465020070176,0.282062445212,-0.126237696575,-0.0915321845234,-0.0527436710536
210,EL-122,EL-122_allsc,0.0220007166972,0.0883929547219,0.892882065597,-0.258548499651,-0.0884508025122,0.103454291696
211,EL-122,Reading,-0.0471275036878,0.0624526772589,0.469818562456,-0.24546406141,-0.0579204466155,0.0642009769714
212,EL-122,Memory,0.0814174701835,0.0596617238487,0.478541521284,-0.140788555478,0.00314026517795,0.103454291696
213,EL-122,CookieTheft,0.0380770127479,0.0475920684302,0.321528262387,-0.166957431961,-0.0579204466155,0.072923935799
214,EL-122,PupilCalib,0.00338870387874,0.189342788343,0.892882065597,-0.258548499651,-0.0884508025122,0.00314026517795
215,EL-156,EL-156_allsc,-0.311060645925,0.108987401062,0.315944072377,-0.649081580699,-0.102142325618,-0.369443465319
216,EL-156,Reading,-0.149373614704,0.0511071485329,0.0609799083539,-0.416049817883,-0.0637606235068,-0.0815806994869
217,EL-156,Memory,-0.352101810038,0.0749918055314,0.315944072377,-0.649081580699,-0.0281204715466,-0.369443465319
218,EL-156,CookieTheft,-0.35121367168,0.0561373958765,0.315944072377,-0.564093526025,-0.107625425919,-0.317354012454
219,EL-156,PupilCalib,-0.00396167108182,0.0474164971553,0.126777111973,-0.248815258685,-0.102142325618,0.0308228566953
220,EL-185,EL-185_allsc,-0.148336670875,0.0649706968595,0.0405640193559,-0.445558060394,-0.0277558405008,-0.282641471505
